	col_val	source	views	registration	conversion
วิธีสร้างโปรไฟล์ตัวละคร: แนวทางขั้นสุดท้าย (พร้อมเทมเพลต)		popup_title	21.0	21.0	100.0
CreateSpace está MORTO. Aqui está o que você precisa saber.		popup_title	21.0	21.0	100.0
https://blog.bookly.com/learning/courses/distribution/		blog_post_url	35.0	21.0	60.0
https://blog.bookly.com/learning/courses/marketing/growing-influence-non-fiction-platform/		blog_post_url	35.0	21.0	60.0
"[""A"",""2020-05-22"",""Understanding Publishing""]"		popup_version|start_date|popup_category	35.0	21.0	60.0
Buchtitelgenerator • Die ultimative Bank mit 10.000 Titeln		popup_title	35.0	21.0	60.0
Growing Your Influence as a Non-Fiction Author (Free Course) • bookly		popup_title	35.0	21.0	60.0
Free Online Distribution Courses for Authors • bookly Learning		popup_title	35.0	21.0	60.0
https://blog.bookly.com/manuscript-format//		blog_post_url	161.0	91.0	56.52173913043478
"[""B"",""2020-05-21"",""Understanding Publishing""]"		popup_version|start_date|popup_category	70.0	35.0	50.0
https://blog.bookly.com/writing-contests/page/3//		blog_post_url	42.0	21.0	50.0
Обзор приложения Hemingway: действительно ли это улучшит ваше письмо?		popup_title	42.0	21.0	50.0
Come scrivere un romanzo usando la struttura in tre atti		popup_title	42.0	21.0	50.0
https://blog.bookly.com/book-cover-makers//		blog_post_url	91.0	42.0	46.15384615384615
"[""B"",""2019-11-18"",""Book Marketing""]"		popup_version|start_date|popup_category	91.0	35.0	38.46153846153847
Learning | Amazon Algorithms | 2020-03		popup_name	56.0	21.0	37.5
https://blog.bookly.com/writing-publishing-resources/		blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/character-motivation//		blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/best-self-publishing-companies//		blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/self-publishing-a-family-memoir/		blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/learning/courses/marketing/author-blog/		blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/learning/courses/publishing/inside-a-big-5-publisher/		blog_post_url	56.0	21.0	37.5
"[""A"",""2020-06-12"",""Book Marketing, Understanding Publishing""]"		popup_version|start_date|popup_category	56.0	21.0	37.5
"[""B"",""2019-04-11"",""""]"		popup_version|start_date|popup_category	56.0	21.0	37.5
"
Free Course: Amazon Algorithms"		popup_header	56.0	21.0	37.5
"
Use Amazon's recommendation system to send your book to the top of its category. Get started now."		popup_description	56.0	21.0	37.5
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2016/10/Getting-your-cookbook-off-the-ground-300x157.jpg		popup_image_url	56.0	21.0	37.5
Inside a Traditional ‘Big 5’ Publisher (Course)		popup_title	56.0	21.0	37.5
Writing and Publishing Resources		popup_title	56.0	21.0	37.5
Self-Publishing a Family Memoir		popup_title	56.0	21.0	37.5
How to Build an Amazing Author Blog (Free Course)		popup_title	56.0	21.0	37.5
https://blog.bookly.com/character-development//		blog_post_url	574.0	196.0	34.146341463414636
https://blog.bookly.com/learning/courses/writing/		blog_post_url	273.0	91.0	33.33333333333333
Free Online Writing Courses for Authors • bookly Learning		popup_title	273.0	91.0	33.33333333333333
"[""B"",""2020-05-25"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	105.0	35.0	33.33333333333333
"[""B"",""2020-02-27"",""""]"		popup_version|start_date|popup_category	63.0	21.0	33.33333333333333
Website Checklist 1		popup_name	112.0	35.0	31.25
"
Free Download: Author Website Checklist"		popup_header	112.0	35.0	31.25
"
Does your website check all the boxes? Enter your email and find out!"		popup_description	112.0	35.0	31.25
"[""A"",""2019-01-22"",""""]"		popup_version|start_date|popup_category	364.0	112.0	30.76923076923077
https://blog.bookly.com/10-exercises-to-become-a-better-writer/		blog_post_url	140.0	42.0	30.0
10 Exercises to Become a Better Writer		popup_title	140.0	42.0	30.0
https://blog.bookly.com/live/amazon-popularity-list/		blog_post_url	70.0	21.0	30.0
https://blog.bookly.com/novlr/		blog_post_url	70.0	21.0	30.0
"[""B"",""2020-06-10"",""Book Marketing""]"		popup_version|start_date|popup_category	70.0	21.0	30.0
Sell more books using Amazon's 'popularity list' • bookly Live		popup_title	70.0	21.0	30.0
Novlr Review: The Best Writing Software for You?		popup_title	70.0	21.0	30.0
https://blog.bookly.com/how-to-start-writing-a-book/		blog_post_url	196.0	56.0	28.57142857142857
How to Start Writing a Book: 4 Simple Steps to Get You Started		popup_title	196.0	56.0	28.57142857142857
https://blog.bookly.com/how-to-publish-on-apple-books/		blog_post_url	126.0	35.0	27.77777777777778
https://blog.bookly.com/learning/courses/design/book-design-101/		blog_post_url	126.0	35.0	27.77777777777778
Book Design 101 for Authors (Free Course) • bookly		popup_title	126.0	35.0	27.77777777777778
How to Publish (and Sell) on Apple Books in 2020		popup_title	126.0	35.0	27.77777777777778
https://blog.bookly.com/cost-professional-author-website/		blog_post_url	77.0	21.0	27.27272727272727
https://blog.bookly.com/work-with-a-ghostwriter/		blog_post_url	77.0	21.0	27.27272727272727
https://blog.bookly.com/creative-writing-prompts/contests/41/		blog_post_url	77.0	21.0	27.27272727272727
https://blog.bookly.com/creative-writing-prompts/mystery/page/2/		blog_post_url	77.0	21.0	27.27272727272727
"[""A"","""",""Book Marketing""]"		popup_version|start_date|popup_category	77.0	21.0	27.27272727272727
What is the Cost of a Professional Author Website?		popup_title	77.0	21.0	27.27272727272727
Fuzzy Friends (or Foes?) - A Weekly Writing Contest		popup_title	77.0	21.0	27.27272727272727
What's it like to work with a ghostwriter on your memoir?		popup_title	77.0	21.0	27.27272727272727
"["""",""2019-10-11"",""""]"		popup_version|start_date|popup_category	147.0	35.0	23.809523809523807
https://blog.bookly.com/how-to-write-a-book-proposal//		blog_post_url	868.0	203.0	23.387096774193548
https://blog.bookly.com/learning/courses/writing/writing-dialogue/		blog_post_url	91.0	21.0	23.076923076923077
https://blog.bookly.com/writing-exercises/outlining/		blog_post_url	91.0	21.0	23.076923076923077
"[""A"",""2020-05-25"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	91.0	21.0	23.076923076923077
"[""A"",""2019-04-12"",""""]"		popup_version|start_date|popup_category	91.0	21.0	23.076923076923077
"[""A"",""2020-02-21"",""""]"		popup_version|start_date|popup_category	91.0	21.0	23.076923076923077
"[""A"",""2020-05-27"",""bookly News""]"		popup_version|start_date|popup_category	91.0	21.0	23.076923076923077
Outlining Writing Exercises		popup_title	91.0	21.0	23.076923076923077
How to Write Believable Dialogue (Free Course) • bookly Learning		popup_title	91.0	21.0	23.076923076923077
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/01/Artboard-Copy-1-300x150.jpg		popup_image_url	245.0	56.0	22.857142857142858
https://blog.bookly.com/largest-book-publishers//		blog_post_url	196.0	42.0	21.428571428571427
https://blog.bookly.com/novel-writing-software//		blog_post_url	98.0	21.0	21.428571428571427
https://blog.bookly.com/author-websites-tips/		blog_post_url	273.0	56.0	20.51282051282051
10 Tips on How to Make an Author Website (+ Bonus Checklist)		popup_title	273.0	56.0	20.51282051282051
https://blog.bookly.com/worldbuilding-guide//		blog_post_url	343.0	70.0	20.408163265306122
https://blog.bookly.com/freelancer/7-top-tips-for-creating-a-great-professional-profile-on-bookly/		blog_post_url	105.0	21.0	20.0
"[""B"",""2020-02-13"",""Perfecting your Craft, Understanding Publishing""]"		popup_version|start_date|popup_category	105.0	21.0	20.0
Top Tips for Creating a Freelance Book Publishing Profile • bookly		popup_title	105.0	21.0	20.0
https://blog.bookly.com/character-profile//		blog_post_url	364.0	70.0	19.230769230769234
Self-Publishing vs. Traditional Publishing: Which Is Better?		popup_title	112.0	21.0	18.75
Learning Young Adult		popup_name	525.0	91.0	17.333333333333336
"[""B"",""2020-04-27"",""""]"		popup_version|start_date|popup_category	525.0	91.0	17.333333333333336
"
Free Course: Writing YA That Sells"		popup_header	525.0	91.0	17.333333333333336
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/04/YA-COurse-300x157.jpg		popup_image_url	525.0	91.0	17.333333333333336
https://blog.bookly.com/guide/point-of-view//		blog_post_url	252.0	42.0	16.666666666666664
BookBub Calendar 1		popup_name	126.0	21.0	16.666666666666664
https://blog.bookly.com/podcast/		blog_post_url	126.0	21.0	16.666666666666664
https://blog.bookly.com/plot-twist-ideas-examples//		blog_post_url	126.0	21.0	16.666666666666664
https://blog.bookly.com/how-to-get-an-isbn//		blog_post_url	126.0	21.0	16.666666666666664
"[""A"",""2020-05-27"",""""]"		popup_version|start_date|popup_category	126.0	21.0	16.666666666666664
"
Free: BookBub Promotion Planner"		popup_header	126.0	21.0	16.666666666666664
"
Download this promotion calendar and maximize your BookBub submissions."		popup_description	126.0	21.0	16.666666666666664
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/07/BookBub-Calendar-Modal-300x157.jpg		popup_image_url	126.0	21.0	16.666666666666664
"["""",""2019-12-13"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	34433.0	5509.0	15.999186826590769
How to Create a Character Profile: the Ultimate Guide (with Template)		popup_title	34244.0	5467.0	15.964840556009813
https://blog.bookly.com/character-profile/		blog_post_url	34069.0	5439.0	15.964659954797616
Website Checklist 2		popup_name	133.0	21.0	15.789473684210526
"
Download Your Free Website Checklist"		popup_header	133.0	21.0	15.789473684210526
"
Make sure your author site has everything you need to become a bestseller."		popup_description	133.0	21.0	15.789473684210526
"["""",""2019-10-10"",""Understanding Publishing""]"		popup_version|start_date|popup_category	7511.0	1141.0	15.191053122087606
"["""",""2020-05-06"",""Understanding Publishing""]"		popup_version|start_date|popup_category	7609.0	1155.0	15.179392824287028
Manuscript Format: A Guide for Novels (FREE Template)		popup_title	7609.0	1155.0	15.179392824287028
How to Write a Book Proposal: a Master Guide (with Template)		popup_title	9135.0	1379.0	15.095785440613026
https://blog.bookly.com/learning/courses/writing/the-ten-commandments-of-writing-ya-novels/		blog_post_url	140.0	21.0	15.0
https://blog.bookly.com/category/perfecting-craft/		blog_post_url	140.0	21.0	15.0
https://blog.bookly.com/creative-writing-prompts/contests/43/		blog_post_url	140.0	21.0	15.0
Kidding Around - A Weekly Writing Contest		popup_title	140.0	21.0	15.0
The Ten Commandments of Writing YA (Free Course) • bookly		popup_title	140.0	21.0	15.0
"[""B"",""2020-04-07"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	238.0	35.0	14.705882352941178
Book Proposal Template 1		popup_name	8428.0	1232.0	14.61794019933555
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/11/book-proposal-header-1-540x300-300x167.jpg		popup_image_url	8428.0	1232.0	14.61794019933555
https://blog.bookly.com/learning/courses/writing/childrens-books-right-age/		blog_post_url	777.0	112.0	14.414414414414415
"
Submitting a proposal? Download this free template from bookly's professionals."		popup_description	8407.0	1211.0	14.40466278101582
https://blog.bookly.com/manuscript-format/		blog_post_url	7448.0	1064.0	14.285714285714285
https://blog.bookly.com/freelancer/		blog_post_url	147.0	21.0	14.285714285714285
Freelancers – bookly		popup_title	147.0	21.0	14.285714285714285
How to Plot a Novel Using the 3-Act Structure (Free Course) • bookly		popup_title	147.0	21.0	14.285714285714285
Bestseller: a Self-Publishing Podcast by bookly		popup_title	147.0	21.0	14.285714285714285
https://blog.bookly.com/how-to-write-a-book-proposal/		blog_post_url	8267.0	1176.0	14.225232853513972
Writing Children's Books 101 (Free Course) • bookly		popup_title	798.0	112.0	14.035087719298245
https://blog.bookly.com/how-to-write-a-novel//		blog_post_url	301.0	42.0	13.953488372093023
"[""A"",""2019-10-11"",""""]"		popup_version|start_date|popup_category	658.0	91.0	13.829787234042554
https://blog.bookly.com/bookbub-for-authors/		blog_post_url	322.0	42.0	13.043478260869565
BookBub For Authors: The Ultimate Guide (+ Free Submission Calendar)		popup_title	322.0	42.0	13.043478260869565
https://blog.bookly.com/how-to-write-a-thriller//		blog_post_url	161.0	21.0	13.043478260869565
https://blog.bookly.com/writing-memoir-tips-for-finding-your-memoirs-theme-by-julia-scheeres/		blog_post_url	161.0	21.0	13.043478260869565
https://blog.bookly.com/stories/		blog_post_url	161.0	21.0	13.043478260869565
https://blog.bookly.com/how-to-write-a-nonfiction-book/		blog_post_url	161.0	21.0	13.043478260869565
Perfecting Your Craft • The bookly Blog		popup_title	161.0	21.0	13.043478260869565
bookly Stories		popup_title	161.0	21.0	13.043478260869565
Tips for Finding Your Memoir’s Theme		popup_title	161.0	21.0	13.043478260869565
How to Write a Nonfiction Book in 9 Steps: Finally Finish That Manuscript!		popup_title	161.0	21.0	13.043478260869565
Learning | Amazon Ads | 2020-03		popup_name	434.0	56.0	12.903225806451612
"
Free course: Amazon ads for authors"		popup_header	434.0	56.0	12.903225806451612
"
Advertise directly to your target readers on the platform where they buy their books. Get started now."		popup_description	434.0	56.0	12.903225806451612
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2017/04/amazon-ads-300x157.jpg		popup_image_url	434.0	56.0	12.903225806451612
"[""B"",""2020-05-26"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	273.0	35.0	12.82051282051282
Just the Beginning - A Weekly Writing Contest		popup_title	777.0	91.0	11.711711711711711
https://blog.bookly.com/how-does-bookly-select-its-publishing-professionals/		blog_post_url	182.0	21.0	11.538461538461538
"[""B"",""2020-02-28"",""Book Marketing""]"		popup_version|start_date|popup_category	182.0	21.0	11.538461538461538
"[""A"",""2020-02-13"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	182.0	21.0	11.538461538461538
How Does bookly Select its Publishing Professionals?		popup_title	182.0	21.0	11.538461538461538
https://blog.bookly.com/creative-writing-prompts/contests/44/		blog_post_url	798.0	91.0	11.403508771929824
Worldbuilding: the Master Guide (with Template)		popup_title	17647.0	1988.0	11.265370884569617
"["""",""2019-10-16"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	17689.0	1988.0	11.238622872971904
https://blog.bookly.com/worldbuilding-guide/		blog_post_url	17346.0	1918.0	11.057304277643262
"[""A"",""2020-05-27"",""Book Marketing""]"		popup_version|start_date|popup_category	1176.0	126.0	10.714285714285714
https://blog.bookly.com/marketing-value-professional-book-cover/		blog_post_url	196.0	21.0	10.714285714285714
The Real Marketing Value of a Professional Book Cover		popup_title	196.0	21.0	10.714285714285714
"[""A"",""2020-05-29"",""Understanding Publishing""]"		popup_version|start_date|popup_category	630.0	63.0	10.0
https://blog.bookly.com/6-steps-for-building-your-author-mailing-list-through-giveaways/		blog_post_url	420.0	42.0	10.0
6 Steps For Building Your Author Mailing List		popup_title	420.0	42.0	10.0
https://blog.bookly.com/writing-exercises/plot-development/		blog_post_url	210.0	21.0	10.0
"[""B"",""2020-05-14"",""generator""]"		popup_version|start_date|popup_category	1365.0	133.0	9.743589743589745
"[""A"",""2020-03-31"",""Understanding Publishing""]"		popup_version|start_date|popup_category	938.0	91.0	9.701492537313433
https://blog.bookly.com/independent-publishers/page/3/		blog_post_url	217.0	21.0	9.67741935483871
"[""A"",""2019-11-19"",""Book Marketing""]"		popup_version|start_date|popup_category	217.0	21.0	9.67741935483871
"[""B"",""2020-06-12"",""Understanding Publishing""]"		popup_version|start_date|popup_category	2765.0	266.0	9.620253164556962
https://blog.bookly.com/poetry-editor/		blog_post_url	378.0	35.0	9.25925925925926
How to Find a Poetry Editor in 5 Essential Steps		popup_title	378.0	35.0	9.25925925925926
Upgrade | Short Story Format Template | 2020-06		popup_name	231.0	21.0	9.090909090909092
https://blog.bookly.com/literary-magazines//		blog_post_url	231.0	21.0	9.090909090909092
"
Free Download: Short Story Format Template"		popup_header	231.0	21.0	9.090909090909092
"
Don't let a messy manuscript ruin a great story. Start sending spotless submissions today."		popup_description	231.0	21.0	9.090909090909092
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/06/Short-Story-Format-Template-300x157.jpg		popup_image_url	231.0	21.0	9.090909090909092
"[""A"",""2020-06-12"",""Book Design""]"		popup_version|start_date|popup_category	1008.0	91.0	9.027777777777777
https://blog.bookly.com/how-to-write-a-book//		blog_post_url	476.0	42.0	8.823529411764707
"[""A"",""2020-02-28"",""Book Marketing""]"		popup_version|start_date|popup_category	238.0	21.0	8.823529411764707
Learning Non Fiction		popup_name	959.0	84.0	8.75912408759124
"
Free Course: How to Write Non-Fiction"		popup_header	959.0	84.0	8.75912408759124
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2016/11/How-to-write-a-non-fiction-book-300x157.jpg		popup_image_url	959.0	84.0	8.75912408759124
"[""A"",""2020-02-29"",""Book Marketing""]"		popup_version|start_date|popup_category	812.0	70.0	8.620689655172415
https://blog.bookly.com/creative-writing-prompts/contests/		blog_post_url	672.0	56.0	8.333333333333332
Weekly Writing Contests		popup_title	672.0	56.0	8.333333333333332
https://blog.bookly.com/creative-writing-prompts/page/4/		blog_post_url	252.0	21.0	8.333333333333332
"[""B"",""2020-06-10"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	259.0	21.0	8.108108108108109
https://blog.bookly.com/character-development-exercises/		blog_post_url	3822.0	308.0	8.058608058608058
"["""",""2018-12-03"",""Perfecting your Craft""]"		popup_version|start_date|popup_category	3857.0	308.0	7.985480943738657
8 Character Development Exercises to Help You Nail Your Character		popup_title	3857.0	308.0	7.985480943738657
https://blog.bookly.com/writing-contests//		blog_post_url	4298.0	343.0	7.980456026058631
Plot Development Writing Exercises		popup_title	266.0	21.0	7.894736842105263
Character Development 101: Writing Characters Readers Won't Forget		popup_title	11942.0	938.0	7.854630715123095
https://blog.bookly.com/ingramspark/		blog_post_url	1897.0	147.0	7.7490774907749085
IngramSpark Review: Don't Use Until You Read This + PROMO CODE!		popup_title	1897.0	147.0	7.7490774907749085
Character Profile Checklist 4		popup_name	90895.0	7007.0	7.708894878706199
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/12/Character-dev-template-1-768x384-600x300-2-1-300x150.jpg		popup_image_url	90895.0	7007.0	7.708894878706199
Worldbuilding Template		popup_name	26901.0	2058.0	7.650273224043716
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/10/Worldbuilding-300x150.jpg		popup_image_url	26901.0	2058.0	7.650273224043716
https://blog.bookly.com/how-to-submit-a-book-proposal/		blog_post_url	826.0	63.0	7.627118644067797
How to Submit a Book Proposal in 3 Steps		popup_title	826.0	63.0	7.627118644067797
"[""A"",""2020-05-14"",""generator""]"		popup_version|start_date|popup_category	1477.0	112.0	7.5829383886255926
https://blog.bookly.com/creative-writing-prompts/contests/45/		blog_post_url	742.0	56.0	7.547169811320755
A Time for Action - A Weekly Writing Contest		popup_title	742.0	56.0	7.547169811320755
Upgrade | Proposal Template | 2020-04		popup_name	2513.0	189.0	7.520891364902507
"
Skip the hassle, keep the hustle. Use this simple proposal template and get publishers to start paying attention."		popup_description	2513.0	189.0	7.520891364902507
"[""B"",""2019-04-16"",""""]"		popup_version|start_date|popup_category	280.0	21.0	7.5
https://blog.bookly.com/learning/courses/		blog_post_url	938.0	70.0	7.462686567164178
https://blog.bookly.com/author-bio/		blog_post_url	11907.0	882.0	7.4074074074074066
"["""",""2020-05-27"",""Book Marketing, Understanding Publishing""]"		popup_version|start_date|popup_category	11977.0	882.0	7.364114552893045
How to Write a Memorable Author Bio (with Template)		popup_title	11977.0	882.0	7.364114552893045
"[""B"",""2020-06-12"",""Book Design""]"		popup_version|start_date|popup_category	952.0	70.0	7.352941176470589
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/02/Checklists-7-300x157.jpg		popup_image_url	21476.0	1575.0	7.333767926988266
https://blog.bookly.com/amazon-ads-for-authors-case-studies/		blog_post_url	1050.0	77.0	7.333333333333333
Amazon Ads For Authors: Two Case Studies Showing That They Do Work		popup_title	1050.0	77.0	7.333333333333333
https://blog.bookly.com/blog-to-book/		blog_post_url	287.0	21.0	7.317073170731707
Pro Tips: Turning your Blog into a Bestselling Book		popup_title	287.0	21.0	7.317073170731707
Browse free publishing courses • bookly Learning		popup_title	973.0	70.0	7.194244604316546
https://blog.bookly.com/book-marketing-ideas/		blog_post_url	1281.0	91.0	7.103825136612022
50+ Book Marketing Ideas to CRUSH Your Book Launch		popup_title	1281.0	91.0	7.103825136612022
"[""B"",""2020-03-03"",""Understanding Publishing""]"		popup_version|start_date|popup_category	3073.0	217.0	7.061503416856492
Book Title Checklist 2		popup_name	826.0	56.0	6.779661016949152
"[""A"",""2020-04-07"",""Book Marketing, Perfecting your Craft""]"		popup_version|start_date|popup_category	826.0	56.0	6.779661016949152
"
Find out if you've chosen the right title for your book."		popup_description	826.0	56.0	6.779661016949152
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/10/book-title-checklist-2-300x142.jpg		popup_image_url	826.0	56.0	6.779661016949152
https://blog.bookly.com/how-to-format-a-book/		blog_post_url	5992.0	392.0	6.5420560747663545
https://blog.bookly.com/creative-writing-prompts/romance/page/2/		blog_post_url	322.0	21.0	6.521739130434782
https://blog.bookly.com/character-development/		blog_post_url	11410.0	742.0	6.5030674846625764
How to Format a Book (the Free and Easy Way) • Ebook Formatting		popup_title	6041.0	392.0	6.488991888760139
https://blog.bookly.com/make-your-own-cookbook/		blog_post_url	3703.0	238.0	6.427221172022684
https://blog.bookly.com/writing-contests/page/2/		blog_post_url	546.0	35.0	6.41025641025641
"["""",""2020-05-29"",""Book Design, Perfecting your Craft, Understanding Publishing""]"		popup_version|start_date|popup_category	3717.0	238.0	6.4030131826742
How to Make Your Own Cookbook in 5 Simple Steps		popup_title	3717.0	238.0	6.4030131826742
https://blog.bookly.com/book-promotion-services//		blog_post_url	329.0	21.0	6.382978723404255
"[""A"",""2019-04-16"",""""]"		popup_version|start_date|popup_category	329.0	21.0	6.382978723404255
https://blog.bookly.com/how-to-get-book-reviews/		blog_post_url	1428.0	91.0	6.372549019607843
How to Get Book Reviews in 5 Steps (2020 Update)		popup_title	1428.0	91.0	6.372549019607843
Submit a short story based on one of 5 weekly prompts. Winners get $50 and will feature on our Medium page! Sign up to get this week&#39;s prompts.		popup_description	2093.0	133.0	6.354515050167224
https://blog-cdn.bookly.com/directories/admin/modal/48/medium_3fd0dd4ec03c6e5ee401e2fb34460bff.jpg		popup_image_url	2093.0	133.0	6.354515050167224
https://blog.bookly.com/ebook-distribution/		blog_post_url	1225.0	77.0	6.2857142857142865
Learning Cookbook		popup_name	3794.0	238.0	6.273062730627306
"
Free Course: Writing a Cookbook"		popup_header	3794.0	238.0	6.273062730627306
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/08/Getting-your-cookbook-off-the-ground-2-573x300-300x157.jpg		popup_image_url	3794.0	238.0	6.273062730627306
https://blog.bookly.com/plotters-pantsers/		blog_post_url	560.0	35.0	6.25
"["""","""",""From our Authors, Perfecting your Craft""]"		popup_version|start_date|popup_category	560.0	35.0	6.25
Pantsers and Plotters: Which Are You? (And Why It Matters)		popup_title	560.0	35.0	6.25
"
The simplest way to format your manuscript to industry standards. Give your submission the edge it needs."		popup_description	2366.0	147.0	6.21301775147929
Ebook Distribution: The Complete Guide for New Authors		popup_title	1246.0	77.0	6.179775280898876
Upgrade | Manuscript Tempate | 2020-03		popup_name	2387.0	147.0	6.158357771260997
https://blog.bookly.com/what-is-ghostwriting/		blog_post_url	343.0	21.0	6.122448979591836
What is Ghostwriting? The Master Guide to Succeeding in the Industry		popup_title	343.0	21.0	6.122448979591836
Mark Dawson Shares His Secret Facebook Ads Strategy		popup_title	343.0	21.0	6.122448979591836
https://bookly.com/discovery/blog/kindle-cloud-reader		blog_post_url	924.0	56.0	6.0606060606060606
Kindle Cloud Reader 101: What It Is and How to Use It | bookly Discovery		popup_title	924.0	56.0	6.0606060606060606
https://blog.bookly.com/how-to-start-a-novel/		blog_post_url	581.0	35.0	6.024096385542169
How to Start a Novel: 8 Steps to the Perfect Opening Scene		popup_title	581.0	35.0	6.024096385542169
Enroll on this 10-day publishing course.		popup_description	3976.0	238.0	5.985915492957746
"[""B"",""2020-03-06"",""Understanding Publishing""]"		popup_version|start_date|popup_category	595.0	35.0	5.88235294117647
"["""",""2019-04-16"",""""]"		popup_version|start_date|popup_category	357.0	21.0	5.88235294117647
https://blog.bookly.com/book-review-blogs//		blog_post_url	959.0	56.0	5.839416058394161
"[""B"",""2020-03-31"",""Understanding Publishing""]"		popup_version|start_date|popup_category	959.0	56.0	5.839416058394161
Learning Facebook Ads		popup_name	364.0	21.0	5.769230769230769
https://blog.bookly.com/facebook-ads-for-authors-mark-dawson-interview/		blog_post_url	364.0	21.0	5.769230769230769
https://blog.bookly.com/learning/courses/writing/how-to-write-romance/		blog_post_url	364.0	21.0	5.769230769230769
"[""A"",""2020-03-02"",""""]"		popup_version|start_date|popup_category	364.0	21.0	5.769230769230769
"
Free Course: Facebook Advertising for Authors"		popup_header	364.0	21.0	5.769230769230769
